Designator,Mid X,Mid Y,Layer,Rotation
C1,86.741000mm,-71.882000mm,Top,180
C2,161.417000mm,-104.267000mm,Top,180
C3,173.863000mm,-104.140000mm,Top,0
C4,173.863000mm,-105.791000mm,Top,0
C5,86.741000mm,-64.516000mm,Top,180
C6,127.127000mm,-85.979000mm,Top,180
C7,52.578000mm,-74.930000mm,Top,90
C8,90.678000mm,-88.392000mm,Top,90
C9,135.001000mm,-133.604000mm,Top,90
C10,71.120000mm,-106.172000mm,Top,90
C11,121.793000mm,-83.947000mm,Top,180
C12,97.663000mm,-68.707000mm,Top,180
C13,144.653000mm,-79.375000mm,Top,270
C14,120.904000mm,-69.088000mm,Top,180
C15,97.155000mm,-83.058000mm,Top,180
C16,133.604000mm,-77.724000mm,Top,0
C17,146.177000mm,-66.167000mm,Top,90
C18,109.601000mm,-66.167000mm,Top,0
C19,133.731000mm,-66.548000mm,Top,0
C20,146.558000mm,-79.375000mm,Top,270
C21,109.474000mm,-80.518000mm,Top,0
C22,71.501000mm,-59.309000mm,Top,0
C23,76.962000mm,-59.309000mm,Top,180
C24,65.024000mm,-59.182000mm,Top,0
C25,144.272000mm,-114.681000mm,Top,180
C26,142.240000mm,-123.063000mm,Top,270
C27,157.099000mm,-123.825000mm,Top,0
C28,157.099000mm,-114.173000mm,Top,0
C29,167.386000mm,-96.266000mm,Top,180
C30,106.553000mm,-118.110000mm,Top,180
C31,160.782000mm,-68.580000mm,Top,180
C32,161.163000mm,-93.599000mm,Top,180
C33,144.272000mm,-118.491000mm,Top,180
C34,144.907000mm,-106.299000mm,Top,180
C35,174.117000mm,-68.326000mm,Top,0
C36,161.036000mm,-82.931000mm,Top,180
C37,157.099000mm,-118.110000mm,Top,0
C38,156.337000mm,-101.600000mm,Top,90
C39,134.874000mm,-94.107000mm,Top,180
C40,174.117000mm,-70.231000mm,Top,0
C41,157.099000mm,-119.761000mm,Top,0
C42,119.253000mm,-106.172000mm,Top,180
C43,174.117000mm,-91.059000mm,Top,0
C44,100.457000mm,-113.792000mm,Top,180
C45,174.244000mm,-80.391000mm,Top,0
C46,88.646000mm,-106.426000mm,Top,90
C47,76.708000mm,-73.533000mm,Top,0
C48,131.445000mm,-103.632000mm,Top,0
C50,147.828000mm,-91.567000mm,Top,0
C52,112.903000mm,-111.252000mm,Top,0
C53,118.999000mm,-118.491000mm,Top,180
C54,131.204000mm,-118.364000mm,Top,0
C55,131.191000mm,-120.142000mm,Top,0
D1,116.586000mm,-93.980000mm,Top,270
D2,101.981000mm,-96.647000mm,Top,270
R1,120.269000mm,-76.835000mm,Top,180
R2,120.269000mm,-78.994000mm,Top,180
R3,120.269000mm,-81.153000mm,Top,0
R4,97.663000mm,-66.167000mm,Top,180
R5,127.127000mm,-83.820000mm,Top,180
R6,103.759000mm,-71.755000mm,Top,180
R7,120.904000mm,-66.548000mm,Top,180
R8,97.155000mm,-80.518000mm,Top,180
R9,148.717000mm,-66.167000mm,Top,90
R10,143.637000mm,-66.040000mm,Top,90
R11,142.367000mm,-79.375000mm,Top,270
R12,148.717000mm,-79.375000mm,Top,270
R13,103.124000mm,-85.852000mm,Top,180
R14,144.272000mm,-116.586000mm,Top,180
R15,144.272000mm,-123.063000mm,Top,270
R16,157.099000mm,-121.920000mm,Top,0
R17,157.099000mm,-116.078000mm,Top,0
R18,161.163000mm,-91.059000mm,Top,180
R19,161.163000mm,-88.646000mm,Top,0
R20,161.036000mm,-80.391000mm,Top,180
R21,160.782000mm,-66.040000mm,Top,180
R22,160.655000mm,-71.120000mm,Top,180
R23,174.244000mm,-72.390000mm,Top,0
R24,174.117000mm,-66.040000mm,Top,0
R25,134.874000mm,-91.567000mm,Top,180
R26,134.874000mm,-89.281000mm,Top,180
R27,119.253000mm,-103.632000mm,Top,180
R28,141.351000mm,-96.520000mm,Top,180
R29,125.349000mm,-108.458000mm,Top,180
R30,118.491000mm,-97.155000mm,Top,0
R31,114.681000mm,-97.155000mm,Top,0
R32,96.774000mm,-121.285000mm,Top,270
R33,100.457000mm,-111.252000mm,Top,180
R34,100.457000mm,-109.220000mm,Top,180
R35,98.806000mm,-121.285000mm,Top,270
R36,106.553000mm,-115.951000mm,Top,180
R37,103.759000mm,-100.203000mm,Top,0
R38,100.330000mm,-100.203000mm,Top,0
U1,65.278000mm,-111.506000mm,Top,0
U3,145.542000mm,-72.644000mm,Top,270
U4,167.640000mm,-104.902000mm,Top,0
U5,167.259000mm,-69.215000mm,Top,0
U7,150.749000mm,-119.126000mm,Top,0
U8,125.222000mm,-119.126000mm,Top,0
U9,150.876000mm,-104.394000mm,Top,0
U10,86.868000mm,-68.199000mm,Top,180
U11,127.254000mm,-78.359000mm,Top,0
U12,103.505000mm,-66.802000mm,Top,0
U13,127.127000mm,-67.183000mm,Top,0
U14,103.251000mm,-81.153000mm,Top,0
U15,167.640000mm,-91.694000mm,Top,0
U16,167.640000mm,-81.026000mm,Top,0
U17,141.224000mm,-92.202000mm,Top,0
U18,125.476000mm,-104.267000mm,Top,0
U19,71.356000mm,-67.733000mm,Top,270
U20,106.680000mm,-111.887000mm,Top,0
U21,83.058000mm,-111.760000mm,Top,0
