Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0603_1608Metric",100.584000,-103.505000,0.000000,top
"C2","0.1uF","C_0603_1608Metric",100.584000,-132.969000,0.000000,top
"C3","0.1uF","C_0603_1608Metric",112.776000,-103.378000,0.000000,top
"C4","0.1uF","C_0603_1608Metric",112.776000,-132.842000,0.000000,top
"C5","0.1uF","C_0603_1608Metric",122.682000,-103.505000,0.000000,top
"C6","0.1uF","C_0603_1608Metric",122.682000,-132.969000,0.000000,top
"C7","0.1uF","C_0603_1608Metric",134.874000,-103.378000,0.000000,top
"C8","0.1uF","C_0603_1608Metric",134.874000,-132.842000,0.000000,top
"C9","0.1uF","C_0603_1608Metric",112.776000,-104.902000,0.000000,top
"C10","0.1uF","C_0603_1608Metric",112.776000,-134.366000,0.000000,top
"C11","0.1uF","C_0603_1608Metric",134.874000,-104.902000,0.000000,top
"C12","0.1uF","C_0603_1608Metric",134.874000,-134.366000,0.000000,top
"U1","DG411xY","SOIC-16_3.9x9.9mm_P1.27mm",106.680000,-104.140000,0.000000,top
"U2","DG411xY","SOIC-16_3.9x9.9mm_P1.27mm",106.680000,-133.604000,0.000000,top
"U3","DG411xY","SOIC-16_3.9x9.9mm_P1.27mm",128.778000,-104.140000,0.000000,top
"U4","DG411xY","SOIC-16_3.9x9.9mm_P1.27mm",128.778000,-133.604000,0.000000,top
